"vehicle_type","state_abb","year_of_manufacture","no_vehicles"
"Articulated trucks","WA","1931",0
"Articulated trucks","WA","1932",0
"Articulated trucks","WA","1933",0
"Articulated trucks","WA","1934",0
"Articulated trucks","WA","1935",0
"Articulated trucks","WA","1936",0
"Articulated trucks","WA","1937",0
"Articulated trucks","WA","1938",0
"Articulated trucks","WA","1939",0
"Articulated trucks","WA","1940",0
"Articulated trucks","WA","1941",0
"Articulated trucks","WA","1942",0
"Articulated trucks","WA","1943",0
"Articulated trucks","WA","1944",0
"Articulated trucks","WA","1945",0
"Articulated trucks","WA","1946",0
"Articulated trucks","WA","1947",0
"Articulated trucks","WA","1948",0
"Articulated trucks","WA","1949",0
"Articulated trucks","WA","1950",0
"Articulated trucks","WA","1951",0
"Articulated trucks","WA","1952",0
"Articulated trucks","WA","1953",0
"Articulated trucks","WA","1954",0
"Articulated trucks","WA","1955",0
"Articulated trucks","WA","1956",0
"Articulated trucks","WA","1957",0
"Articulated trucks","WA","1958",0
"Articulated trucks","WA","1959",0
"Articulated trucks","WA","1960",0
"Articulated trucks","WA","1961",0
"Articulated trucks","WA","1962",0
"Articulated trucks","WA","1963",0
"Articulated trucks","WA","1964",3
"Articulated trucks","WA","1965",0
"Articulated trucks","WA","1966",0
"Articulated trucks","WA","1967",3
"Articulated trucks","WA","1968",4
"Articulated trucks","WA","1969",0
"Articulated trucks","WA","1970",7
"Articulated trucks","WA","1971",10
"Articulated trucks","WA","1972",6
"Articulated trucks","WA","1973",8
"Articulated trucks","WA","1974",13
"Articulated trucks","WA","1975",16
"Articulated trucks","WA","1976",37
"Articulated trucks","WA","1977",31
"Articulated trucks","WA","1978",39
"Articulated trucks","WA","1979",56
"Articulated trucks","WA","1980",47
"Articulated trucks","WA","1981",51
"Articulated trucks","WA","1982",46
"Articulated trucks","WA","1983",24
"Articulated trucks","WA","1984",54
"Articulated trucks","WA","1985",89
"Articulated trucks","WA","1986",70
"Articulated trucks","WA","1987",74
"Articulated trucks","WA","1988",135
"Articulated trucks","WA","1989",122
"Articulated trucks","WA","1990",102
"Articulated trucks","WA","1991",40
"Articulated trucks","WA","1992",60
"Articulated trucks","WA","1993",100
"Articulated trucks","WA","1994",178
"Articulated trucks","WA","1995",198
"Articulated trucks","WA","1996",191
"Articulated trucks","WA","1997",211
"Articulated trucks","WA","1998",287
"Articulated trucks","WA","1999",247
"Articulated trucks","WA","2000",258
"Articulated trucks","WA","2001",246
"Articulated trucks","WA","2002",350
"Articulated trucks","WA","2003",472
"Articulated trucks","WA","2004",612
"Articulated trucks","WA","2005",648
"Articulated trucks","WA","2006",660
"Articulated trucks","WA","2007",1138
"Articulated trucks","WA","2008",627
"Articulated trucks","WA","2009",521
"Articulated trucks","WA","2010",825
"Articulated trucks","WA","2011",485
"Articulated trucks","WA","2012",974
"Articulated trucks","WA","2013",947
"Articulated trucks","WA","2014",901
"Articulated trucks","WA","2015",634
"Articulated trucks","WA","2016",588
"Articulated trucks","WA","2017",773
"Articulated trucks","WA","2018",918
"Articulated trucks","WA","2019",826
"Articulated trucks","WA","2020",702
"Articulated trucks","WA","2021",1263
"Articulated trucks","WA","2022",1297
"Articulated trucks","WA","2023",1316
"Articulated trucks","WA","2024",518
"Articulated trucks","WA","2025",0
"Articulated trucks","WA","Not stated",0
"Articulated trucks","Tas","1901",0
"Articulated trucks","Tas","1902",0
"Articulated trucks","Tas","1903",0
"Articulated trucks","Tas","1904",0
"Articulated trucks","Tas","1905",0
"Articulated trucks","Tas","1906",0
"Articulated trucks","Tas","1907",0
"Articulated trucks","Tas","1908",0
"Articulated trucks","Tas","1909",0
"Articulated trucks","Tas","1910",0
"Articulated trucks","Tas","1911",0
"Articulated trucks","Tas","1912",0
"Articulated trucks","Tas","1913",0
"Articulated trucks","Tas","1914",0
"Articulated trucks","Tas","1915",0
"Articulated trucks","Tas","1916",0
"Articulated trucks","Tas","1917",0
"Articulated trucks","Tas","1918",0
"Articulated trucks","Tas","1919",0
"Articulated trucks","Tas","1920",0
"Articulated trucks","Tas","1921",0
"Articulated trucks","Tas","1922",0
"Articulated trucks","Tas","1923",0
"Articulated trucks","Tas","1924",0
"Articulated trucks","Tas","1925",0
"Articulated trucks","Tas","1926",0
"Articulated trucks","Tas","1927",0
"Articulated trucks","Tas","1928",0
"Articulated trucks","Tas","1929",0
"Articulated trucks","Tas","1930",0
"Articulated trucks","Tas","1931",0
"Articulated trucks","Tas","1932",0
"Articulated trucks","Tas","1933",0
"Articulated trucks","Tas","1934",0
"Articulated trucks","Tas","1935",0
"Articulated trucks","Tas","1936",0
"Articulated trucks","Tas","1937",0
"Articulated trucks","Tas","1938",0
"Articulated trucks","Tas","1939",0
"Articulated trucks","Tas","1940",0
"Articulated trucks","Tas","1941",0
"Articulated trucks","Tas","1942",0
"Articulated trucks","Tas","1943",0
"Articulated trucks","Tas","1944",0
"Articulated trucks","Tas","1945",0
"Articulated trucks","Tas","1946",0
"Articulated trucks","Tas","1947",0
"Articulated trucks","Tas","1948",0
"Articulated trucks","Tas","1949",0
"Articulated trucks","Tas","1950",0
"Articulated trucks","Tas","1951",0
"Articulated trucks","Tas","1952",0
"Articulated trucks","Tas","1953",0
"Articulated trucks","Tas","1954",0
"Articulated trucks","Tas","1955",0
"Articulated trucks","Tas","1956",0
"Articulated trucks","Tas","1957",0
"Articulated trucks","Tas","1958",0
"Articulated trucks","Tas","1959",0
"Articulated trucks","Tas","1960",0
"Articulated trucks","Tas","1961",0
"Articulated trucks","Tas","1962",0
"Articulated trucks","Tas","1963",0
"Articulated trucks","Tas","1964",3
"Articulated trucks","Tas","1965",0
"Articulated trucks","Tas","1966",0
"Articulated trucks","Tas","1967",3
"Articulated trucks","Tas","1968",0
"Articulated trucks","Tas","1969",0
"Articulated trucks","Tas","1970",0
"Articulated trucks","Tas","1971",3
"Articulated trucks","Tas","1972",0
"Articulated trucks","Tas","1973",3
"Articulated trucks","Tas","1974",0
"Articulated trucks","Tas","1975",0
"Articulated trucks","Tas","1976",0
"Articulated trucks","Tas","1977",3
"Articulated trucks","Tas","1978",8
"Articulated trucks","Tas","1979",4
"Articulated trucks","Tas","1980",5
"Articulated trucks","Tas","1981",4
"Articulated trucks","Tas","1982",4
"Articulated trucks","Tas","1983",0
"Articulated trucks","Tas","1984",10
"Articulated trucks","Tas","1985",6
"Articulated trucks","Tas","1986",7
"Articulated trucks","Tas","1987",8
"Articulated trucks","Tas","1988",7
"Articulated trucks","Tas","1989",16
"Articulated trucks","Tas","1990",16
"Articulated trucks","Tas","1991",5
"Articulated trucks","Tas","1992",5
"Articulated trucks","Tas","1993",5
"Articulated trucks","Tas","1994",14
"Articulated trucks","Tas","1995",16
"Articulated trucks","Tas","1996",24
"Articulated trucks","Tas","1997",26
"Articulated trucks","Tas","1998",32
"Articulated trucks","Tas","1999",23
"Articulated trucks","Tas","2000",24
"Articulated trucks","Tas","2001",21
"Articulated trucks","Tas","2002",47
"Articulated trucks","Tas","2003",56
"Articulated trucks","Tas","2004",69
"Articulated trucks","Tas","2005",65
"Articulated trucks","Tas","2006",66
"Articulated trucks","Tas","2007",140
"Articulated trucks","Tas","2008",65
"Articulated trucks","Tas","2009",34
"Articulated trucks","Tas","2010",80
"Articulated trucks","Tas","2011",32
"Articulated trucks","Tas","2012",74
"Articulated trucks","Tas","2013",92
"Articulated trucks","Tas","2014",106
"Articulated trucks","Tas","2015",97
"Articulated trucks","Tas","2016",111
"Articulated trucks","Tas","2017",126
"Articulated trucks","Tas","2018",192
"Articulated trucks","Tas","2019",112
"Articulated trucks","Tas","2020",97
"Articulated trucks","Tas","2021",113
"Articulated trucks","Tas","2022",146
"Articulated trucks","Tas","2023",140
"Articulated trucks","Tas","2024",62
"Articulated trucks","Tas","2025",0
"Articulated trucks","Tas","Not stated",0
"Articulated trucks","NT","1901",0
"Articulated trucks","NT","1902",0
"Articulated trucks","NT","1903",0
"Articulated trucks","NT","1904",0
"Articulated trucks","NT","1905",0
"Articulated trucks","NT","1906",0
"Articulated trucks","NT","1907",0
"Articulated trucks","NT","1908",0
"Articulated trucks","NT","1909",0
"Articulated trucks","NT","1910",0
"Articulated trucks","NT","1911",0
"Articulated trucks","NT","1912",0
"Articulated trucks","NT","1913",0
"Articulated trucks","NT","1914",0
"Articulated trucks","NT","1915",0
"Articulated trucks","NT","1916",0
"Articulated trucks","NT","1917",0
"Articulated trucks","NT","1918",0
"Articulated trucks","NT","1919",0
"Articulated trucks","NT","1920",0
"Articulated trucks","NT","1921",0
"Articulated trucks","NT","1922",0
"Articulated trucks","NT","1923",0
"Articulated trucks","NT","1924",0
"Articulated trucks","NT","1925",0
"Articulated trucks","NT","1926",0
"Articulated trucks","NT","1927",0
"Articulated trucks","NT","1928",0
"Articulated trucks","NT","1929",0
"Articulated trucks","NT","1930",0
"Articulated trucks","NT","1931",0
"Articulated trucks","NT","1932",0
"Articulated trucks","NT","1933",0
"Articulated trucks","NT","1934",0
"Articulated trucks","NT","1935",0
"Articulated trucks","NT","1936",0
"Articulated trucks","NT","1937",0
"Articulated trucks","NT","1938",0
"Articulated trucks","NT","1939",0
"Articulated trucks","NT","1940",0
"Articulated trucks","NT","1941",0
"Articulated trucks","NT","1942",0
"Articulated trucks","NT","1943",0
"Articulated trucks","NT","1944",0
"Articulated trucks","NT","1945",0
"Articulated trucks","NT","1946",0
"Articulated trucks","NT","1947",0
"Articulated trucks","NT","1948",0
"Articulated trucks","NT","1949",0
"Articulated trucks","NT","1950",0
"Articulated trucks","NT","1951",0
"Articulated trucks","NT","1952",0
"Articulated trucks","NT","1953",0
"Articulated trucks","NT","1954",0
"Articulated trucks","NT","1955",0
"Articulated trucks","NT","1956",3
"Articulated trucks","NT","1957",0
"Articulated trucks","NT","1958",0
"Articulated trucks","NT","1959",0
"Articulated trucks","NT","1960",0
"Articulated trucks","NT","1961",0
"Articulated trucks","NT","1962",0
"Articulated trucks","NT","1963",0
"Articulated trucks","NT","1964",0
"Articulated trucks","NT","1965",0
"Articulated trucks","NT","1966",0
"Articulated trucks","NT","1967",0
"Articulated trucks","NT","1968",0
"Articulated trucks","NT","1969",0
"Articulated trucks","NT","1970",0
"Articulated trucks","NT","1971",0
"Articulated trucks","NT","1972",0
"Articulated trucks","NT","1973",0
"Articulated trucks","NT","1974",0
"Articulated trucks","NT","1975",0
"Articulated trucks","NT","1976",0
"Articulated trucks","NT","1977",0
"Articulated trucks","NT","1978",0
"Articulated trucks","NT","1979",0
"Articulated trucks","NT","1980",3
"Articulated trucks","NT","1981",0
"Articulated trucks","NT","1982",0
"Articulated trucks","NT","1983",0
"Articulated trucks","NT","1984",4
"Articulated trucks","NT","1985",5
"Articulated trucks","NT","1986",5
"Articulated trucks","NT","1987",3
"Articulated trucks","NT","1988",6
"Articulated trucks","NT","1989",14
"Articulated trucks","NT","1990",9
"Articulated trucks","NT","1991",3
"Articulated trucks","NT","1992",3
"Articulated trucks","NT","1993",5
"Articulated trucks","NT","1994",10
"Articulated trucks","NT","1995",14
"Articulated trucks","NT","1996",20
"Articulated trucks","NT","1997",15
"Articulated trucks","NT","1998",10
"Articulated trucks","NT","1999",14
"Articulated trucks","NT","2000",17
"Articulated trucks","NT","2001",22
"Articulated trucks","NT","2002",19
"Articulated trucks","NT","2003",34
"Articulated trucks","NT","2004",25
"Articulated trucks","NT","2005",51
"Articulated trucks","NT","2006",45
"Articulated trucks","NT","2007",87
"Articulated trucks","NT","2008",48
"Articulated trucks","NT","2009",38
"Articulated trucks","NT","2010",74
"Articulated trucks","NT","2011",39
"Articulated trucks","NT","2012",67
"Articulated trucks","NT","2013",80
"Articulated trucks","NT","2014",69
"Articulated trucks","NT","2015",38
"Articulated trucks","NT","2016",33
"Articulated trucks","NT","2017",39
"Articulated trucks","NT","2018",51
"Articulated trucks","NT","2019",62
"Articulated trucks","NT","2020",58
"Articulated trucks","NT","2021",63
"Articulated trucks","NT","2022",58
"Articulated trucks","NT","2023",103
"Articulated trucks","NT","2024",38
"Articulated trucks","NT","2025",0
"Articulated trucks","NT","Not stated",0
"Articulated trucks","ACT","1901",0
"Articulated trucks","ACT","1902",0
"Articulated trucks","ACT","1903",0
"Articulated trucks","ACT","1904",0
"Articulated trucks","ACT","1905",0
"Articulated trucks","ACT","1906",0
"Articulated trucks","ACT","1907",0
"Articulated trucks","ACT","1908",0
"Articulated trucks","ACT","1909",0
"Articulated trucks","ACT","1910",0
"Articulated trucks","ACT","1911",0
"Articulated trucks","ACT","1912",0
"Articulated trucks","ACT","1913",0
"Articulated trucks","ACT","1914",0
"Articulated trucks","ACT","1915",0
"Articulated trucks","ACT","1916",0
"Articulated trucks","ACT","1917",0
"Articulated trucks","ACT","1918",0
"Articulated trucks","ACT","1919",0
"Articulated trucks","ACT","1920",0
"Articulated trucks","ACT","1921",0
"Articulated trucks","ACT","1922",0
"Articulated trucks","ACT","1923",0
"Articulated trucks","ACT","1924",0
"Articulated trucks","ACT","1925",0
"Articulated trucks","ACT","1926",0
"Articulated trucks","ACT","1927",0
"Articulated trucks","ACT","1928",0
"Articulated trucks","ACT","1929",0
"Articulated trucks","ACT","1930",0
"Articulated trucks","ACT","1931",0
"Articulated trucks","ACT","1932",0
"Articulated trucks","ACT","1933",0
"Articulated trucks","ACT","1934",0
"Articulated trucks","ACT","1935",0
"Articulated trucks","ACT","1936",0
"Articulated trucks","ACT","1937",0
"Articulated trucks","ACT","1938",0
"Articulated trucks","ACT","1939",0
"Articulated trucks","ACT","1940",0
"Articulated trucks","ACT","1941",0
"Articulated trucks","ACT","1942",0
"Articulated trucks","ACT","1943",0
"Articulated trucks","ACT","1944",0
"Articulated trucks","ACT","1945",0
"Articulated trucks","ACT","1946",0
"Articulated trucks","ACT","1947",0
"Articulated trucks","ACT","1948",0
"Articulated trucks","ACT","1949",0
"Articulated trucks","ACT","1950",0
"Articulated trucks","ACT","1951",0
"Articulated trucks","ACT","1952",0
"Articulated trucks","ACT","1953",0
"Articulated trucks","ACT","1954",0
"Articulated trucks","ACT","1955",0
"Articulated trucks","ACT","1956",0
"Articulated trucks","ACT","1957",0
"Articulated trucks","ACT","1958",0
"Articulated trucks","ACT","1959",0
"Articulated trucks","ACT","1960",0
"Articulated trucks","ACT","1961",0
"Articulated trucks","ACT","1962",0
"Articulated trucks","ACT","1963",0
"Articulated trucks","ACT","1964",0
"Articulated trucks","ACT","1965",0
"Articulated trucks","ACT","1966",0
"Articulated trucks","ACT","1967",0
"Articulated trucks","ACT","1968",0
"Articulated trucks","ACT","1969",0
"Articulated trucks","ACT","1970",0
"Articulated trucks","ACT","1971",0
"Articulated trucks","ACT","1972",0
"Articulated trucks","ACT","1973",0
"Articulated trucks","ACT","1974",0
"Articulated trucks","ACT","1975",0
"Articulated trucks","ACT","1976",0
"Articulated trucks","ACT","1977",0
"Articulated trucks","ACT","1978",0
"Articulated trucks","ACT","1979",0
"Articulated trucks","ACT","1980",0
"Articulated trucks","ACT","1981",0
"Articulated trucks","ACT","1982",0
"Articulated trucks","ACT","1983",0
"Articulated trucks","ACT","1984",0
"Articulated trucks","ACT","1985",0
"Articulated trucks","ACT","1986",3
"Articulated trucks","ACT","1987",0
"Articulated trucks","ACT","1988",0
"Articulated trucks","ACT","1989",0
"Articulated trucks","ACT","1990",0
"Articulated trucks","ACT","1991",0
"Articulated trucks","ACT","1992",0
"Articulated trucks","ACT","1993",0
"Articulated trucks","ACT","1994",0
"Articulated trucks","ACT","1995",0
"Articulated trucks","ACT","1996",3
"Articulated trucks","ACT","1997",0
"Articulated trucks","ACT","1998",3
"Articulated trucks","ACT","1999",3
"Articulated trucks","ACT","2000",4
"Articulated trucks","ACT","2001",3
"Articulated trucks","ACT","2002",3
"Articulated trucks","ACT","2003",0
"Articulated trucks","ACT","2004",7
"Articulated trucks","ACT","2005",14
"Articulated trucks","ACT","2006",4
"Articulated trucks","ACT","2007",16
"Articulated trucks","ACT","2008",4
"Articulated trucks","ACT","2009",4
"Articulated trucks","ACT","2010",5
"Articulated trucks","ACT","2011",7
"Articulated trucks","ACT","2012",9
"Articulated trucks","ACT","2013",12
"Articulated trucks","ACT","2014",10
"Articulated trucks","ACT","2015",6
"Articulated trucks","ACT","2016",6
"Articulated trucks","ACT","2017",9
"Articulated trucks","ACT","2018",13
"Articulated trucks","ACT","2019",5
"Articulated trucks","ACT","2020",10
"Articulated trucks","ACT","2021",5
"Articulated trucks","ACT","2022",10
"Articulated trucks","ACT","2023",17
"Articulated trucks","ACT","2024",10
"Articulated trucks","ACT","2025",0
"Articulated trucks","ACT","Not stated",0
"Non-freight-carrying vehicles","NSW","1901",0
"Non-freight-carrying vehicles","NSW","1902",0
"Non-freight-carrying vehicles","NSW","1903",0
"Non-freight-carrying vehicles","NSW","1904",0
"Non-freight-carrying vehicles","NSW","1905",0
"Non-freight-carrying vehicles","NSW","1906",0
"Non-freight-carrying vehicles","NSW","1907",0
"Non-freight-carrying vehicles","NSW","1908",0
"Non-freight-carrying vehicles","NSW","1909",0
"Non-freight-carrying vehicles","NSW","1910",0
"Non-freight-carrying vehicles","NSW","1911",0
"Non-freight-carrying vehicles","NSW","1912",3
"Non-freight-carrying vehicles","NSW","1913",0
"Non-freight-carrying vehicles","NSW","1914",0
"Non-freight-carrying vehicles","NSW","1915",0
"Non-freight-carrying vehicles","NSW","1916",0
"Non-freight-carrying vehicles","NSW","1917",0
"Non-freight-carrying vehicles","NSW","1918",0
"Non-freight-carrying vehicles","NSW","1919",0
"Non-freight-carrying vehicles","NSW","1920",0
"Non-freight-carrying vehicles","NSW","1921",0
"Non-freight-carrying vehicles","NSW","1922",0
"Non-freight-carrying vehicles","NSW","1923",0
"Non-freight-carrying vehicles","NSW","1924",0
"Non-freight-carrying vehicles","NSW","1925",0
"Non-freight-carrying vehicles","NSW","1926",3
"Non-freight-carrying vehicles","NSW","1927",0
"Non-freight-carrying vehicles","NSW","1928",0
"Non-freight-carrying vehicles","NSW","1929",0
"Non-freight-carrying vehicles","NSW","1930",0
"Non-freight-carrying vehicles","NSW","1931",0
"Non-freight-carrying vehicles","NSW","1932",0
"Non-freight-carrying vehicles","NSW","1933",0
"Non-freight-carrying vehicles","NSW","1934",0
"Non-freight-carrying vehicles","NSW","1935",0
"Non-freight-carrying vehicles","NSW","1936",0
"Non-freight-carrying vehicles","NSW","1937",0
"Non-freight-carrying vehicles","NSW","1938",0
"Non-freight-carrying vehicles","NSW","1939",3
"Non-freight-carrying vehicles","NSW","1940",0
"Non-freight-carrying vehicles","NSW","1941",0
"Non-freight-carrying vehicles","NSW","1942",0
"Non-freight-carrying vehicles","NSW","1943",0
"Non-freight-carrying vehicles","NSW","1944",0
"Non-freight-carrying vehicles","NSW","1945",0
"Non-freight-carrying vehicles","NSW","1946",0
"Non-freight-carrying vehicles","NSW","1947",0
"Non-freight-carrying vehicles","NSW","1948",0
"Non-freight-carrying vehicles","NSW","1949",0
"Non-freight-carrying vehicles","NSW","1950",0
"Non-freight-carrying vehicles","NSW","1951",0
"Non-freight-carrying vehicles","NSW","1952",0
"Non-freight-carrying vehicles","NSW","1953",0
"Non-freight-carrying vehicles","NSW","1954",0
"Non-freight-carrying vehicles","NSW","1955",0
"Non-freight-carrying vehicles","NSW","1956",0
"Non-freight-carrying vehicles","NSW","1957",0
"Non-freight-carrying vehicles","NSW","1958",0
"Non-freight-carrying vehicles","NSW","1959",0
"Non-freight-carrying vehicles","NSW","1960",3
"Non-freight-carrying vehicles","NSW","1961",3
"Non-freight-carrying vehicles","NSW","1962",0
"Non-freight-carrying vehicles","NSW","1963",3
"Non-freight-carrying vehicles","NSW","1964",0
"Non-freight-carrying vehicles","NSW","1965",3
"Non-freight-carrying vehicles","NSW","1966",3
"Non-freight-carrying vehicles","NSW","1967",3
"Non-freight-carrying vehicles","NSW","1968",3
"Non-freight-carrying vehicles","NSW","1969",3
"Non-freight-carrying vehicles","NSW","1970",3
"Non-freight-carrying vehicles","NSW","1971",3
"Non-freight-carrying vehicles","NSW","1972",3
"Non-freight-carrying vehicles","NSW","1973",4
"Non-freight-carrying vehicles","NSW","1974",4
"Non-freight-carrying vehicles","NSW","1975",8
"Non-freight-carrying vehicles","NSW","1976",0
"Non-freight-carrying vehicles","NSW","1977",9
"Non-freight-carrying vehicles","NSW","1978",8
"Non-freight-carrying vehicles","NSW","1979",7
"Non-freight-carrying vehicles","NSW","1980",8
"Non-freight-carrying vehicles","NSW","1981",14
"Non-freight-carrying vehicles","NSW","1982",14
"Non-freight-carrying vehicles","NSW","1983",18
"Non-freight-carrying vehicles","NSW","1984",29
"Non-freight-carrying vehicles","NSW","1985",22
"Non-freight-carrying vehicles","NSW","1986",19
"Non-freight-carrying vehicles","NSW","1987",18
"Non-freight-carrying vehicles","NSW","1988",33
"Non-freight-carrying vehicles","NSW","1989",36
"Non-freight-carrying vehicles","NSW","1990",39
"Non-freight-carrying vehicles","NSW","1991",42
"Non-freight-carrying vehicles","NSW","1992",48
"Non-freight-carrying vehicles","NSW","1993",30
"Non-freight-carrying vehicles","NSW","1994",63
"Non-freight-carrying vehicles","NSW","1995",62
"Non-freight-carrying vehicles","NSW","1996",67
"Non-freight-carrying vehicles","NSW","1997",66
"Non-freight-carrying vehicles","NSW","1998",67
"Non-freight-carrying vehicles","NSW","1999",91
"Non-freight-carrying vehicles","NSW","2000",119
"Non-freight-carrying vehicles","NSW","2001",104
"Non-freight-carrying vehicles","NSW","2002",148
"Non-freight-carrying vehicles","NSW","2003",133
"Non-freight-carrying vehicles","NSW","2004",218
"Non-freight-carrying vehicles","NSW","2005",263
"Non-freight-carrying vehicles","NSW","2006",272
"Non-freight-carrying vehicles","NSW","2007",296
"Non-freight-carrying vehicles","NSW","2008",305
"Non-freight-carrying vehicles","NSW","2009",278
"Non-freight-carrying vehicles","NSW","2010",326
"Non-freight-carrying vehicles","NSW","2011",256
"Non-freight-carrying vehicles","NSW","2012",256
"Non-freight-carrying vehicles","NSW","2013",256
"Non-freight-carrying vehicles","NSW","2014",312
"Non-freight-carrying vehicles","NSW","2015",289
"Non-freight-carrying vehicles","NSW","2016",304
"Non-freight-carrying vehicles","NSW","2017",370
"Non-freight-carrying vehicles","NSW","2018",323
"Non-freight-carrying vehicles","NSW","2019",469
"Non-freight-carrying vehicles","NSW","2020",391
"Non-freight-carrying vehicles","NSW","2021",399
"Non-freight-carrying vehicles","NSW","2022",408
"Non-freight-carrying vehicles","NSW","2023",369
"Non-freight-carrying vehicles","NSW","2024",294
"Non-freight-carrying vehicles","NSW","2025",15
"Non-freight-carrying vehicles","NSW","Not stated",3
"Non-freight-carrying vehicles","Vic","1901",0
"Non-freight-carrying vehicles","Vic","1902",0
"Non-freight-carrying vehicles","Vic","1903",0
"Non-freight-carrying vehicles","Vic","1904",0
"Non-freight-carrying vehicles","Vic","1905",0
"Non-freight-carrying vehicles","Vic","1906",0
"Non-freight-carrying vehicles","Vic","1907",0
"Non-freight-carrying vehicles","Vic","1908",0
"Non-freight-carrying vehicles","Vic","1909",0
"Non-freight-carrying vehicles","Vic","1910",0
"Non-freight-carrying vehicles","Vic","1911",0
"Non-freight-carrying vehicles","Vic","1912",0
"Non-freight-carrying vehicles","Vic","1913",0
"Non-freight-carrying vehicles","Vic","1914",0
"Non-freight-carrying vehicles","Vic","1915",0
"Non-freight-carrying vehicles","Vic","1916",0
"Non-freight-carrying vehicles","Vic","1917",0
"Non-freight-carrying vehicles","Vic","1918",0
"Non-freight-carrying vehicles","Vic","1919",0
"Non-freight-carrying vehicles","Vic","1920",0
"Non-freight-carrying vehicles","Vic","1921",0
"Non-freight-carrying vehicles","Vic","1922",0
"Non-freight-carrying vehicles","Vic","1923",0
"Non-freight-carrying vehicles","Vic","1924",0
"Non-freight-carrying vehicles","Vic","1925",0
"Non-freight-carrying vehicles","Vic","1926",0
"Non-freight-carrying vehicles","Vic","1927",0
"Non-freight-carrying vehicles","Vic","1928",0
"Non-freight-carrying vehicles","Vic","1929",3
"Non-freight-carrying vehicles","Vic","1930",0
"Non-freight-carrying vehicles","Vic","1931",0
"Non-freight-carrying vehicles","Vic","1932",0
"Non-freight-carrying vehicles","Vic","1933",0
"Non-freight-carrying vehicles","Vic","1934",0
"Non-freight-carrying vehicles","Vic","1935",0
"Non-freight-carrying vehicles","Vic","1936",3
"Non-freight-carrying vehicles","Vic","1937",3
"Non-freight-carrying vehicles","Vic","1938",0
"Non-freight-carrying vehicles","Vic","1939",3
"Non-freight-carrying vehicles","Vic","1940",0
"Non-freight-carrying vehicles","Vic","1941",0
"Non-freight-carrying vehicles","Vic","1942",0
"Non-freight-carrying vehicles","Vic","1943",0
"Non-freight-carrying vehicles","Vic","1944",0
"Non-freight-carrying vehicles","Vic","1945",0
"Non-freight-carrying vehicles","Vic","1946",0
"Non-freight-carrying vehicles","Vic","1947",0
"Non-freight-carrying vehicles","Vic","1948",0
"Non-freight-carrying vehicles","Vic","1949",0
"Non-freight-carrying vehicles","Vic","1950",0
"Non-freight-carrying vehicles","Vic","1951",0
"Non-freight-carrying vehicles","Vic","1952",0
"Non-freight-carrying vehicles","Vic","1953",0
"Non-freight-carrying vehicles","Vic","1954",0
"Non-freight-carrying vehicles","Vic","1955",0
"Non-freight-carrying vehicles","Vic","1956",5
"Non-freight-carrying vehicles","Vic","1957",0
"Non-freight-carrying vehicles","Vic","1958",3
"Non-freight-carrying vehicles","Vic","1959",0
"Non-freight-carrying vehicles","Vic","1960",3
"Non-freight-carrying vehicles","Vic","1961",0
"Non-freight-carrying vehicles","Vic","1962",0
"Non-freight-carrying vehicles","Vic","1963",3
"Non-freight-carrying vehicles","Vic","1964",3
"Non-freight-carrying vehicles","Vic","1965",6
"Non-freight-carrying vehicles","Vic","1966",4
"Non-freight-carrying vehicles","Vic","1967",6
"Non-freight-carrying vehicles","Vic","1968",7
"Non-freight-carrying vehicles","Vic","1969",9
"Non-freight-carrying vehicles","Vic","1970",10
"Non-freight-carrying vehicles","Vic","1971",17
"Non-freight-carrying vehicles","Vic","1972",14
"Non-freight-carrying vehicles","Vic","1973",21
"Non-freight-carrying vehicles","Vic","1974",12
"Non-freight-carrying vehicles","Vic","1975",26
"Non-freight-carrying vehicles","Vic","1976",29
"Non-freight-carrying vehicles","Vic","1977",22
"Non-freight-carrying vehicles","Vic","1978",17
"Non-freight-carrying vehicles","Vic","1979",20
"Non-freight-carrying vehicles","Vic","1980",24
"Non-freight-carrying vehicles","Vic","1981",40
"Non-freight-carrying vehicles","Vic","1982",34
"Non-freight-carrying vehicles","Vic","1983",38
"Non-freight-carrying vehicles","Vic","1984",36
"Non-freight-carrying vehicles","Vic","1985",75
"Non-freight-carrying vehicles","Vic","1986",62
"Non-freight-carrying vehicles","Vic","1987",120
"Non-freight-carrying vehicles","Vic","1988",147
"Non-freight-carrying vehicles","Vic","1989",94
"Non-freight-carrying vehicles","Vic","1990",92
"Non-freight-carrying vehicles","Vic","1991",121
"Non-freight-carrying vehicles","Vic","1992",149
"Non-freight-carrying vehicles","Vic","1993",107
"Non-freight-carrying vehicles","Vic","1994",91
"Non-freight-carrying vehicles","Vic","1995",136
"Non-freight-carrying vehicles","Vic","1996",130
"Non-freight-carrying vehicles","Vic","1997",119
"Non-freight-carrying vehicles","Vic","1998",164
"Non-freight-carrying vehicles","Vic","1999",225
"Non-freight-carrying vehicles","Vic","2000",167
"Non-freight-carrying vehicles","Vic","2001",183
"Non-freight-carrying vehicles","Vic","2002",219
"Non-freight-carrying vehicles","Vic","2003",207
"Non-freight-carrying vehicles","Vic","2004",292
"Non-freight-carrying vehicles","Vic","2005",315
"Non-freight-carrying vehicles","Vic","2006",340
"Non-freight-carrying vehicles","Vic","2007",510
"Non-freight-carrying vehicles","Vic","2008",421
"Non-freight-carrying vehicles","Vic","2009",378
